. - Down,. - Up,5 - Down,5 - Up,a - Down,a - Up,e - Down,e - Up,i - Down,i - Up,l - Down,n - Down,n - Up,o - Down,o - Up,r - Down,r - Up,t - Down,t - Up,t - i Down,i - e Down,e - 5 Down,5 - r Down,r - o Down,o - a Down,a - n Down,n - l Down,. - t Up,t - i Up,i - e Up,e - 5 Up,5 - r Up,r - o Up,o - a Up,a - n Up
2.29e-05,0.143806934,0.881006002,1.023313999,1.703617811,1.855760813,0.591825008,0.695576906,0.343798876,0.507732868,2.087960958,1.91194582,2.007526875,1.519943953,1.655701876,1.383947849,1.537834883,0.240903854,0.383891821,0.102895022,0.248026132,0.289180994,0.502941847,0.135996104,0.183673858,0.208328009,0.176015138,0.240084887,0.123841047,0.187844038,0.327737093,0.514520884,0.117866993,0.200058937,0.151766062
2.1e-05,0.152163029,0.912168026,1.048056126,1.833513975,1.935982943,0.592200041,0.720078945,0.416158915,0.560111046,2.133074999,1.975984097,2.096046925,1.70036602,1.816921949,1.543963909,1.667742968,0.209311962,0.353542089,0.206846953,0.176041126,0.319967985,0.631795883,0.156402111,0.133147955,0.142470122,0.157090902,0.20137906,0.206568957,0.159967899,0.327977181,0.619686842,0.149178981,0.119060994,0.160063982
2e-05,0.113244057,0.976094007,1.071945906,1.842380047,1.92800808,0.632199049,0.736078978,0.44814992,0.584052086,2.112138033,1.999968052,2.06385088,1.693161964,1.825167894,1.496134043,1.631870031,0.328006029,0.463293076,0.120143891,0.184049129,0.343894958,0.520040036,0.197027921,0.149218083,0.157588005,0.112169981,0.350049019,0.12075901,0.152026892,0.335866928,0.559924125,0.193297863,0.102840186,0.1358428
1.81e-05,0.157570124,1.205487967,1.389703989,1.965569973,2.053132057,0.930951118,1.064707041,0.765484095,0.909368992,2.365453005,2.197666168,2.310726166,1.829651117,1.981686115,1.621618032,1.812275171,0.565670013,0.69810915,0.199814082,0.165467023,0.274536849,0.416130065,0.208033085,0.135918856,0.232096195,0.167786837,0.540539026,0.211259842,0.155338049,0.324996948,0.422571182,0.169410944,0.071445942,0.257594109
2e-05,0.157524109,1.111958027,1.28788805,1.90399003,2.053154945,0.543859005,0.703613043,0.384006977,0.557729959,2.207679033,2.05675602,2.153244019,1.754580975,1.920423031,1.537753105,1.703524113,0.143830061,0.255932093,0.240176916,0.159852028,0.568099022,0.425795078,0.21682787,0.149409055,0.15276599,0.150923013,0.098407984,0.301797866,0.145883084,0.584275007,0.415636063,0.216898918,0.132731914,0.100089074
2.1e-05,0.174743891,1.055984974,1.223906994,1.807852983,1.954447031,0.543808937,0.663680077,0.38379097,0.559984922,2.11174798,1.943960905,2.031863928,1.655173063,1.791624069,1.455156088,1.607867956,0.159818888,0.27187705,0.223972082,0.160017967,0.512176037,0.399171114,0.200016975,0.15267992,0.136107922,0.167787075,0.097133159,0.288107872,0.103695155,0.560226917,0.383960962,0.183756113,0.162822962,0.077416897
2e-05,0.15386796,1.024055004,1.183795929,1.699944973,1.83225584,0.652681828,0.801200867,0.486405849,0.639915943,2.048666,1.849680901,1.951769829,1.551868916,1.67978406,1.384038925,1.519837856,0.22419095,0.328098059,0.262214899,0.166275979,0.371373176,0.359983921,0.167829991,0.148076057,0.149735928,0.198985099,0.174230099,0.311817884,0.161284924,0.382595062,0.336041927,0.159946204,0.15247178,0.119513989
2.1e-05,0.111834049,0.843147039,1.007960081,1.503942013,1.6240201,0.576022148,0.655950069,0.400172949,0.543736935,1.791991949,1.6568501,1.719913006,1.37599206,1.524829149,1.192043066,1.341807127,0.18384099,0.351921082,0.216331959,0.175849199,0.267124891,0.348896027,0.183948994,0.127949953,0.152908087,0.135141849,0.240087033,0.191815853,0.112213134,0.352010012,0.333847046,0.183022022,0.099190951,0.095892906
2.19e-05,0.127542019,1.096145868,1.256104946,1.952323914,2.080281973,0.477196932,0.592137814,0.3043468,0.464284897,2.256733894,2.08946085,2.184345961,1.544425011,1.67463994,1.528455019,1.65614295,0.144359827,0.261144876,0.159986973,0.172850132,0.618948936,0.432309151,0.015969992,0.407898903,0.137136936,0.167273044,0.133602857,0.203140021,0.127852917,0.663967132,0.400038004,0.01849699,0.405642033,0.104063988
2.29e-05,0.133141994,1.279329062,1.389117956,2.743491888,2.860328913,0.615868092,0.725312948,0.325241089,0.461330891,3.143079042,2.917322874,3.010341883,2.517458916,2.677248955,2.053320885,2.198535919,0.149595022,0.28527689,0.175646067,0.290627003,0.66346097,0.773991823,0.464138031,0.226032972,0.173830986,0.225756168,0.152134896,0.176054001,0.263982057,0.663805008,0.809417963,0.478713036,0.183079958,0.15001297
2.12e-05,0.134516001,1.39182806,1.455716133,2.481972218,2.627900124,0.967825174,1.103932142,0.624363184,0.727705002,2.783954144,2.607963085,2.679656029,2.280184031,2.41587615,2.151838064,2.295652151,0.503822088,0.599989176,0.120541096,0.34346199,0.424002886,0.760010004,0.128345967,0.201788187,0.125990867,0.175991059,0.465473175,0.127715826,0.37622714,0.351783991,0.839936018,0.120223999,0.212023974,0.051755905
1.98e-05,0.120136976,0.848317862,0.928062916,1.393427849,1.504192829,0.584486961,0.70420599,0.378988981,0.480283976,1.800088882,1.640252829,1.768190861,1.248267889,1.384196997,1.12012887,1.260033846,0.192422867,0.304019928,0.186566114,0.20549798,0.263830901,0.271811008,0.128139019,0.14515996,0.24682498,0.159836053,0.183882952,0.176264048,0.223922014,0.223856926,0.33197093,0.124163151,0.119995832,0.263998032
2.1e-05,0.14469099,1.535926104,1.64119792,2.189316988,2.3197999,0.84326911,0.960175991,0.631804943,0.759597063,2.57314992,2.375771999,2.447658062,2.040689945,2.192253113,1.890734911,2.00784111,0.47199893,0.59990406,0.159806013,0.211464167,0.692656994,0.354808807,0.149955034,0.148627043,0.186455011,0.197377921,0.45521307,0.159693003,0.200578928,0.681021929,0.36664319,0.184412003,0.127546787,0.127858162
2e-05,0.123381138,0.864029169,1.005049944,1.603841066,1.744040012,0.539576054,0.656092167,0.352177143,0.527603149,2.048114061,1.784111023,1.927839041,1.456143141,1.623972178,1.240159035,1.392109156,0.160315037,0.28007102,0.191862106,0.187398911,0.324453115,0.376129866,0.215984106,0.147697925,0.180269957,0.264003038,0.156689882,0.247532129,0.128489018,0.348957777,0.387059212,0.231863022,0.120067834,0.183799029
2.1e-05,0.143901825,0.888190985,1.056075811,1.584108829,1.724792957,0.528176785,0.648097992,0.394793987,0.5442698,2.040844917,1.792204857,1.906498909,1.440149784,1.586630821,1.263944864,1.409372807,0.223917961,0.384032965,0.170876026,0.133382798,0.3600142,0.375753879,0.17620492,0.143959045,0.208096028,0.24864006,0.24013114,0.160236835,0.103828192,0.407977819,0.353296996,0.177258014,0.138162136,0.181705952
2.1e-05,0.112035036,0.904281139,1.056240082,1.610262156,1.728113174,0.529354095,0.640170097,0.368298054,0.520203114,2.040364027,1.848218203,1.975960016,1.432271004,1.584146023,1.295629978,1.445060015,0.176275969,0.313410044,0.192022085,0.161056041,0.374927044,0.391348839,0.136641026,0.177991152,0.237956047,0.192145824,0.201375008,0.20679307,0.119966983,0.416069985,0.388819933,0.139086008,0.143967151,0.247846842
