. - Down,. - Up,5 - Down,5 - Up,a - Down,a - Up,e - Down,e - Up,i - Down,i - Up,l - Down,n - Down,n - Up,o - Down,o - Up,r - Down,r - Up,t - Down,t - Up,t - i Down,i - e Down,e - 5 Down,5 - r Down,r - o Down,o - a Down,a - n Down,n - l Down,. - t Up,t - i Up,i - e Up,e - 5 Up,5 - r Up,r - o Up,o - a Up,a - n Up
2.50E-05,0.127536058,0.979279041,1.063977003,1.663846016,1.831737995,0.607897997,0.759808064,0.36800909,0.527547121,2.023842096,1.79186821,1.903914213,1.495846987,1.676950216,1.303841114,1.415909052,0.180205107,0.313358068,0.187803984,0.239888906,0.371381044,0.324562073,0.192005873,0.167999029,0.128022194,0.231973886,0.18582201,0.214189053,0.232260942,0.30416894,0.351932049,0.261041164,0.154787779,0.072176218
2.12E-05,0.120644093,1.192645073,1.296518087,1.920813084,2.080484152,0.872638226,1.016714096,0.656801224,0.792556047,2.224585056,2.062089205,2.12070322,1.745961189,1.929599047,1.560651064,1.656768084,0.376876116,0.488737106,0.279925108,0.215837002,0.320006847,0.368005991,0.185310125,0.174851894,0.141276121,0.162495852,0.368093014,0.303818941,0.224158049,0.279803991,0.360249996,0.272830963,0.150885105,0.040219069
2.00E-05,0.120040894,1.400141001,1.497670889,2.162777901,2.31188488,0.700632811,0.799935818,0.433883905,0.568022966,2.464164972,2.263993979,2.376039982,1.991946936,2.179646969,1.816159964,1.919894934,0.208190918,0.311923027,0.225692987,0.266748905,0.69950819,0.416018963,0.175786972,0.170830965,0.101216078,0.200170994,0.191882133,0.256099939,0.231912851,0.697735071,0.422224045,0.259752035,0.132237911,0.064155102
2.00E-05,0.144591808,1.263790846,1.383723974,1.955994844,2.103698015,0.642951012,0.767889023,0.375825882,0.55913496,2.319932938,2.139554977,2.255589962,1.756876945,1.935703993,1.607697964,1.703696012,0.215837002,0.342911005,0.15998888,0.26712513,0.620839834,0.343907118,0.149178982,0.199117899,0.183560133,0.18037796,0.198319197,0.216223955,0.208754063,0.615834951,0.319972038,0.23200798,0.167994022,0.151891947
1.91E-05,0.15199995,0.952251911,1.061314106,1.676281929,1.816174984,0.645591974,0.775825024,0.396230936,0.545800924,2.064174891,1.839809895,1.951946974,1.536140919,1.727940083,1.224033117,1.344131947,0.208103895,0.296066046,0.188127041,0.249361038,0.306659937,0.271781206,0.312107801,0.14014101,0.163527966,0.224364996,0.144066095,0.249734879,0.230024099,0.285489082,0.282817841,0.383808136,0.088234901,0.13577199
2.22E-05,0.143378973,0.911951065,1.057062149,1.783692122,1.951521158,0.583934069,0.719679117,0.328685999,0.487709999,2.170603037,1.919736147,2.047646999,1.622513056,1.847669125,1.37254405,1.543828964,0.183696032,0.307574987,0.144989967,0.25524807,0.328016996,0.460592985,0.249969006,0.161179066,0.136044025,0.25086689,0.164196014,0.180135012,0.231969118,0.337383032,0.486766815,0.30384016,0.103852034,0.096125841
2.00E-05,0.129389048,0.94461298,1.06388092,1.759376049,1.879677057,0.559952974,0.703901052,0.329336882,0.464581966,2.008047104,1.816066027,1.921741009,1.543900967,1.736051083,1.376123905,1.504033089,0.151899099,0.256082058,0.177437782,0.230616093,0.384660006,0.431510925,0.167777061,0.215475082,0.056689978,0.191981077,0.12669301,0.208499908,0.239319086,0.359979868,0.440152168,0.232017994,0.143625975,0.042063951
1.60E-05,0.152173996,1.086503029,1.222005129,2.086142063,2.254065037,0.75839591,0.902333975,0.470394135,0.614140034,2.390372038,2.174047947,2.296829939,1.918416023,2.147368908,1.750499964,1.881690979,0.286242962,0.401932001,0.184151173,0.288001776,0.328107119,0.663996935,0.167916059,0.16772604,0.087905884,0.216324091,0.249758005,0.212208033,0.288193941,0.319671154,0.65968585,0.265677929,0.106696129,0.042764902
2.00E-05,0.048070908,2.16823101,2.288147926,3.088203907,3.2719419,1.056106091,1.199894905,0.8779881,0.977732897,3.360282898,3.192089081,3.303957939,2.857575893,3.048124075,2.744189978,2.859358072,0.656143904,0.752058983,0.221844196,0.17811799,1.11212492,0.575958967,0.113385916,0.230628014,0.103885174,0.168193817,0.703988075,0.225673914,0.222162008,1.088253021,0.571210146,0.188766003,0.223817825,0.032016039
2.22E-05,0.127772093,0.98445797,1.095920086,1.607985973,1.75188303,0.679820061,0.815742016,0.423911095,0.56894207,1.914942026,1.681306124,1.832591057,1.463860989,1.647624016,1.263911009,1.400377035,0.235666037,0.33574295,0.188245058,0.255908966,0.304637909,0.279453039,0.19994998,0.144124985,0.07332015,0.233635902,0.207970858,0.23319912,0.246799946,0.28017807,0.304456949,0.247246981,0.104259014,0.080708027
