. - Down,. - Up,5 - Down,5 - Up,a - Down,a - Up,e - Down,e - Up,i - Down,i - Up,l - Down,n - Down,n - Up,o - Down,o - Up,r - Down,r - Up,t - Down,t - Up,t - I down,I - e down,e-5 down,5 - r down,r - o down,o - a down,a - n down,n - l down,. = t up,t - I up,I - e up,e - 5 up,5 - r up,r - o  up,o - a up,a - n up
2.50E-05,0.080003023,0.712021112,0.810328007,1.091820002,1.215655088,0.294752121,0.351838112,0.199963093,0.29710412,1.312160969,1.224990129,1.295726061,1.048002005,1.1121521,0.943306923,1.075387001,0.095767021,0.210824966,0.104196072,0.094789028,0.417268991,0.23128581,0.104695082,0.043817997,0.133170128,0.087170839,0.130821943,0.086279154,0.054733992,0.458489895,0.265058994,0.036765099,0.103502989,0.080070972
2.19E-05,0.102619886,0.883990049,0.967540026,1.28421092,1.415308952,0.418742895,0.519858837,0.304060936,0.407875061,1.447788954,1.367522955,1.449084044,1.199805975,1.282260895,1.103922844,1.223582983,0.167769909,0.263597965,0.136291027,0.114681959,0.465247154,0.219932795,0.095883131,0.084404945,0.083312035,0.080265999,0.160978079,0.144277096,0.111983776,0.447681189,0.256042957,0.058677912,0.133048058,0.033775091
2.10E-05,0.088037014,0.760104895,0.847997904,1.204697847,1.338410854,0.368089914,0.471851826,0.279827833,0.390483856,1.405262947,1.322958946,1.384034872,1.087960005,1.191850901,0.992223978,1.139678955,0.175977945,0.28125,0.103849888,0.088262081,0.39201498,0.232119083,0.095736027,0.116737843,0.118261099,0.082304001,0.193212986,0.109233856,0.08136797,0.376146078,0.291681051,0.052171946,0.146559954,0.045624018
2.00E-05,0.095734119,0.775804043,0.855892897,1.186137915,1.303111076,0.32790494,0.438971996,0.256165981,0.329526901,1.383925915,1.279779911,1.335489035,1.104192972,1.17555809,1.007791042,1.120290041,0.159868002,0.257770061,0.096297979,0.071738958,0.447899103,0.231987,0.09640193,0.081944942,0.093641996,0.104146004,0.162035942,0.07175684,0.109445095,0.4169209,0.264397144,0.055268049,0.127552986,0.032377958
2.00E-05,0.087661982,1.143900871,1.239768982,1.571698904,1.70669198,0.673601866,0.773479939,0.560076952,0.639641047,1.804728031,1.705051899,1.735561848,1.508188963,1.559630871,1.388912916,1.505908966,0.383779049,0.495801926,0.176297903,0.113524914,0.470299006,0.245012045,0.119276047,0.063509941,0.133352995,0.099676132,0.408139944,0.143839121,0.133838892,0.466289043,0.266139984,0.053721905,0.14706111,0.028869867
2.00E-05,0.099377871,0.731150866,0.819001913,1.081940889,1.216173887,0.347651005,0.459580898,0.251529932,0.349434853,1.315439939,1.213897943,1.251008034,1.035340071,1.083570004,0.946939945,1.080218077,0.163440943,0.281034946,0.088088989,0.096121073,0.383499861,0.21578908,0.088400126,0.046600819,0.131957054,0.101541996,0.181657076,0.068399906,0.110146046,0.359421015,0.261216164,0.003351927,0.132603884,0.034834146
1.98E-05,0.103984833,0.783684015,0.871970892,1.178854942,1.309669971,0.335737944,0.439749002,0.263924837,0.345551968,1.359905005,1.263911009,1.34383893,1.088023901,1.177098989,1.015797853,1.143678904,0.167770863,0.279172897,0.096153975,0.071813107,0.447946072,0.232113838,0.072226048,0.090831041,0.085056067,0.095993996,0.175188065,0.06637907,0.094197035,0.432221889,0.271708012,0.033420086,0.132570982,0.034168959
2.10E-05,0.071640968,0.795718908,0.894352913,1.151667118,1.27957201,0.319709063,0.431683064,0.262923002,0.329281092,1.343809128,1.247654915,1.319931984,1.071964025,1.135632038,0.999716043,1.111644983,0.127805948,0.239691973,0.135117054,0.05678606,0.476009846,0.203997135,0.072247982,0.079703093,0.095987797,0.096154213,0.168051004,0.089589119,0.102401972,0.462669849,0.21729207,0.023987055,0.143939972,0.040359974
2.00E-05,0.087882996,0.799971104,0.885359049,1.184033155,1.287384033,0.287988186,0.383865118,0.235749006,0.305525064,1.367967129,1.271925211,1.335714102,1.09596014,1.159883022,1.007742167,1.119806051,0.120056152,0.215892076,0.115692854,0.05223918,0.511982918,0.207771063,0.088217974,0.088073015,0.087892056,0.096041918,0.128009081,0.089632988,0.078340054,0.501493931,0.234447002,0.040076971,0.127501011,0.048330069
2.00E-05,0.108586073,0.892691135,0.972720146,1.484853983,1.628911018,0.324556112,0.428688049,0.252876043,0.348961115,1.724805117,1.60481596,1.662781,1.416394949,1.495285988,1.284547091,1.413284063,0.164729118,0.265814066,0.088146925,0.071680069,0.568135023,0.391855955,0.131847858,0.068459034,0.119961977,0.119989157,0.157227993,0.083147049,0.079726934,0.544032097,0.440563917,0.082001925,0.133625031,0.033869982
