. - Down,. - Up,5 - Down,5 - Up,a - Down,a - Up,e - Down,e - Up,i - Down,i - Up,l - Down,n - Down,n - Up,o - Down,o - Up,r - Down,r - Up,t - Down,t - Up,t - i Down,i - e Down,e - 5 Down,5 - r Down,r - o Down,o - a Down,a - n Down,n - l Down,. - t Up,t - i Up,i - e Up,e - 5 Up,5 - r Up,r - o Up,o - a Up,a - n Up
2e-05,0.071821928,0.631578922,0.703718901,0.929666042,1.039648056,0.304050922,0.383769035,0.200125933,0.320163012,1.071928978,0.967972994,1.103711843,0.896729946,0.9794209,0.807852983,0.912235975,0.115321875,0.176055908,0.084804058,0.103924989,0.327528,0.176274061,0.088876963,0.032936096,0.038306952,0.103955984,0.10423398,0.144107104,0.063606023,0.319949866,0.208517074,0.067184925,0.060227156,0.064063787
3.39e-05,0.063730955,0.584825993,0.651808977,0.853032827,0.952348948,0.271793842,0.343631983,0.185553789,0.311730862,1.031992912,0.911771774,1.063634872,0.834374905,0.933526993,0.75976181,0.851275921,0.103932858,0.168401003,0.081620931,0.086240053,0.313032151,0.174935817,0.074613095,0.018657922,0.058738947,0.120221138,0.104670048,0.143329859,0.031901121,0.308176994,0.199466944,0.082251072,0.018821955,0.111285924
1.81e-05,0.048454046,0.50821805,0.572266102,0.78207016,0.914124012,0.244716167,0.333022118,0.172280073,0.324182034,0.940304041,0.83130908,0.972151995,0.780628204,0.84715414,0.668224096,0.764183044,0.076181173,0.140268087,0.0960989,0.072436094,0.263501883,0.160006046,0.112404108,0.001441956,0.04923892,0.108994961,0.091814041,0.183913947,0.008840084,0.239243984,0.191916942,0.082971096,0.066969872,0.058027983
1.81e-05,0.043388128,0.49141407,0.56337595,0.755506992,0.87539196,0.219485044,0.315490007,0.150599003,0.291666031,0.931581974,0.814945936,0.971359015,0.739468098,0.843629122,0.664307117,0.764689922,0.059873104,0.132188082,0.090725899,0.068886041,0.271929026,0.172893047,0.075160981,0.016038894,0.059438944,0.116636038,0.088799954,0.159477949,0.023823976,0.247885943,0.201313972,0.0789392,0.031762838,0.095967055
1.91e-05,0.07993412,0.583986998,0.647962093,0.800276041,0.928009987,0.288441896,0.37609005,0.209799051,0.343929052,1.424041033,0.874037027,1.008038044,0.848037004,0.891381979,0.736112118,0.82446599,0.135901928,0.200102091,0.073897123,0.078642845,0.295545102,0.15212512,0.111924886,-0.047760963,0.073760986,0.550004006,0.120167971,0.143826961,0.032160998,0.271872043,0.176503897,0.066915989,0.036628008,0.080028057
1.81e-05,0.087838173,0.759927034,0.845794201,1.015807152,1.159955025,0.319929123,0.399937153,0.231216192,0.351814032,1.179625988,1.079948187,1.227275133,0.962905169,1.063851118,0.945425987,1.040223122,0.143975019,0.207869053,0.087241173,0.088712931,0.439997911,0.185498953,0.017479182,0.052901983,0.064141035,0.099677801,0.12003088,0.143944979,0.048123121,0.445857048,0.194428921,0.023627996,0.096103907,0.067320108
2.19e-05,0.055779934,0.519710064,0.639855146,0.706494093,0.847707987,0.290189981,0.389542103,0.206876993,0.367761135,0.911802053,0.78361702,0.955027103,0.688558102,0.809180021,0.690964937,0.735574007,0.111827135,0.191768169,0.095049858,0.083312988,0.229520083,0.171254873,-0.002406835,0.017935991,0.077122927,0.128185033,0.135988235,0.175992966,0.021780968,0.250313043,0.095718861,0.073606014,0.038527966,0.107319116
1.69e-05,0.095984936,0.487905979,0.600240946,0.693989038,0.848429918,0.279902935,0.393954992,0.227598906,0.378719091,0.831947088,0.677073002,0.863843918,0.58417201,0.744431973,0.678654909,0.726727962,0.112246037,0.211534023,0.115352869,0.052304029,0.208003044,0.19074893,-0.094482899,0.109817028,-0.016916036,0.154874086,0.115549087,0.167185068,0.015235901,0.206285954,0.126487016,0.017704011,0.103997945,0.015414
2e-05,0.070448875,0.512019873,0.601259947,0.759958982,0.871991873,0.248091936,0.335734844,0.18463397,0.319583893,0.920132875,0.801138878,0.959878922,0.718147993,0.850560904,0.700345993,0.78461194,0.087897062,0.143916845,0.096736908,0.063457966,0.263927937,0.18832612,0.017802,0.041810989,0.041179896,0.118993997,0.07346797,0.175667048,0.016150951,0.265525103,0.183351993,0.065948964,0.021430969,0.087887049
1.79e-05,0.055551052,0.663749933,0.74711895,0.947211981,1.048202991,0.264062881,0.349698067,0.182143927,0.317075968,1.063747883,0.963545084,1.09563303,0.887800932,0.981466055,0.83968997,0.931417942,0.09927392,0.167670965,0.082870007,0.081918954,0.399687052,0.175940037,0.048110962,0.059411049,0.016333103,0.100202799,0.112119913,0.149405003,0.032622099,0.397420883,0.184298992,0.050048113,0.066736936,0.047430039
2e-05,0.058507919,0.578532934,0.665483952,0.847860098,0.954379082,0.274466038,0.370635033,0.194599867,0.354378939,1.018464088,0.890642881,1.04805088,0.810894966,0.930465937,0.754488945,0.866760015,0.0998981,0.170433998,0.094701767,0.079866171,0.304066896,0.175956011,0.056406021,0.036965132,0.042782783,0.127821207,0.111926079,0.183944941,0.016256094,0.294848919,0.201276063,0.063705922,0.023913145,0.093671798
2.41e-05,0.100498915,0.583436966,0.631630898,0.855886936,0.95165801,0.320158005,0.399223089,0.233027935,0.3516469,1.007616997,0.887696981,1.039629936,0.83373189,0.915700912,0.783832073,0.871617079,0.151727915,0.218229055,0.08130002,0.08713007,0.263278961,0.200395107,0.049899817,0.022155046,0.031810045,0.119920016,0.11773014,0.133417845,0.047576189,0.232407809,0.239986181,0.044083833,0.035957098,0.087971926
1.79e-05,0.08887887,0.521925926,0.62409687,0.752000809,0.880192041,0.306864977,0.38911581,0.221988916,0.343909025,0.882462978,0.788079023,0.927857876,0.705862999,0.793813944,0.679884911,0.791445017,0.15196681,0.24028182,0.070022106,0.084876061,0.215060949,0.157958985,0.025978088,0.04613781,0.036078214,0.094383955,0.15140295,0.103627205,0.045206785,0.23498106,0.167348147,0.002368927,0.086378097,0.047665835
1.79e-05,0.080232859,0.576081038,0.639873981,0.904037952,1.008002043,0.327950001,0.413655996,0.232891083,0.360090971,1.048655033,0.913104057,1.071851969,0.840018034,0.94391799,0.73605895,0.842082977,0.132893085,0.21634388,0.099997998,0.095058918,0.248131037,0.159977912,0.103959084,0.064019918,0.009066105,0.135550976,0.136111021,0.143747091,0.053565025,0.226217985,0.202208996,0.101835013,0.064084053,0.063849926
1.91e-05,0.078619957,0.526680946,0.600716114,0.799715042,0.902539968,0.27888298,0.358518124,0.200124979,0.333744049,0.918554068,0.790924072,0.964765072,0.735378027,0.834553957,0.694795132,0.816213131,0.103121042,0.19156003,0.097003937,0.078758001,0.247797966,0.168114186,0.040582895,0.064337015,-0.00879097,0.127629996,0.112940073,0.142184019,0.024774075,0.24219799,0.215497017,0.018340826,0.067986011,0.062225104
