. - Down,. - Up,5 - Down,5 - Up,a - Down,a - Up,e - Down,e - Up,i - Down,i - Up,l - Down,n - Down,n - Up,o - Down,o - Up,r - Down,r - Up,t - Down,t - Up,t-l down,l - e down,e-5 down,5 - r down,r - o down,o - a down,a - n down,n - l down,. - t up,t - l up,l - e up,e - 5 up,5 - r up,r - o up,o - a up,a - n up
1.79E-05,0.078059912,0.590297937,0.686269999,1.006313086,1.125950098,0.334157944,0.438214064,0.222445011,0.310046911,1.270268917,1.102547884,1.214154005,0.931301117,1.021975994,0.830132008,0.914211988,0.10384202,0.232851028,0.118602991,0.111712933,0.256139994,0.23983407,0.101169109,0.075011969,0.096234798,0.167721033,0.154791117,0.077195883,0.128167152,0.248055935,0.22794199,0.107764006,0.103974104,0.088203907
1.81E-05,0.119955063,0.640022993,0.744101048,1.336187124,1.480065107,0.384183168,0.488000154,0.280228138,0.392976046,1.600187063,1.440426111,1.52010107,1.257915974,1.357269049,1.16018796,1.24811101,0.184193134,0.30984807,0.096035004,0.10395503,0.255839825,0.520164967,0.097728014,0.078271151,0.104238987,0.159760952,0.189893007,0.083127975,0.095024109,0.256100893,0.504009962,0.109158039,0.122796059,0.040035963
2.00E-05,0.079590082,0.719984055,0.826596975,1.358974934,1.491453886,0.512001991,0.593430042,0.344041109,0.447922945,1.624474049,1.456129074,1.535866976,1.247549057,1.361712933,1.095722914,1.231734037,0.216018915,0.311935902,0.128022194,0.167960882,0.207982063,0.375738859,0.151826143,0.111425877,0.09715414,0.168344975,0.232345819,0.135987043,0.145507097,0.233166933,0.405137062,0.129978895,0.129740953,0.04441309
2.00E-05,0.103605032,0.63209796,0.754765034,1.170530081,1.286974907,0.422183037,0.527738094,0.296164989,0.399736881,1.447779894,1.248035908,1.343924999,1.054363966,1.154177904,0.935991049,1.039897919,0.19204092,0.297732115,0.104124069,0.126018047,0.209914923,0.303893089,0.118372917,0.116166115,0.077505827,0.199743986,0.194127083,0.102004766,0.128001213,0.227026939,0.285132885,0.114279985,0.132797003,0.056950092
1.98E-05,0.101830959,1.037870884,1.163431883,1.578568935,1.678921938,0.781690836,0.877777815,0.573864937,0.680708885,1.878680944,1.661686897,1.757761002,1.462934971,1.557734966,1.346290827,1.437814951,0.373838902,0.509789944,0.200026035,0.207825899,0.256180048,0.308419943,0.116644144,0.115633965,0.083117962,0.216994047,0.407958984,0.170918941,0.19706893,0.285654068,0.274383068,0.119920015,0.121186972,0.078839064
1.98E-05,0.087831974,0.815914869,0.97112298,1.386407852,1.503519773,0.422149897,0.535787821,0.322103977,0.407846928,1.703691959,1.519772768,1.615702868,1.270231962,1.367803812,1.127922773,1.247821808,0.206195831,0.311838865,0.115908146,0.100045919,0.393764973,0.312007904,0.142309189,0.11617589,0.133364916,0.183919191,0.224006891,0.096008062,0.127940893,0.435335159,0.276698828,0.119982004,0.135715961,0.112183094
1.88E-05,0.116307974,0.648730993,0.780944824,1.199967861,1.346737862,0.424013853,0.519551992,0.333070993,0.448233843,1.528069973,1.328120947,1.430012941,1.098117828,1.214075804,0.983984947,1.087804794,0.208133936,0.311922789,0.124937057,0.09094286,0.22471714,0.335253954,0.114132881,0.101850033,0.128153086,0.199949026,0.195614815,0.136311054,0.07131815,0.261392832,0.30685997,0.126271009,0.132662058,0.08327508
1.91E-05,0.09478116,0.710884094,0.830609083,1.238893986,1.379409075,0.499334097,0.590764046,0.351206064,0.478799105,1.558879137,1.36699295,1.46343708,1.158884048,1.263751984,0.982859135,1.134793043,0.214650154,0.348644972,0.13655591,0.148128033,0.211549997,0.27197504,0.176024914,0.080009937,0.128098965,0.191886187,0.253863811,0.130154133,0.111964941,0.239845037,0.30418396,0.128958941,0.115657091,0.084028006
2.00E-05,0.087944984,0.599555016,0.695738077,1.031845093,1.144016027,0.361603022,0.445147038,0.261929989,0.345401049,1.288008928,1.159348011,1.223883152,0.977416992,1.063743114,0.84426713,0.959941149,0.152047157,0.247936964,0.109882832,0.099673033,0.237951994,0.244712114,0.133149862,0.054428101,0.127502918,0.128660917,0.15999198,0.097464085,0.099745989,0.25059104,0.264203072,0.103801966,0.080272913,0.079867125
2.10E-05,0.10041213,0.732673168,0.836780071,1.221062183,1.347630024,0.516277075,0.580641985,0.383478165,0.519117117,1.484976053,1.325103045,1.396998167,1.131559134,1.230295181,1.021009207,1.108556986,0.250179052,0.3669312,0.133299112,0.13279891,0.216396093,0.288336039,0.110549927,0.08950305,0.104040861,0.159873009,0.26651907,0.152185917,0.061524868,0.256138086,0.271776915,0.121738195,0.117334843,0.049368143
1.79E-05,0.096272945,0.942636013,1.040043831,1.491661787,1.624897957,0.658351898,0.768220901,0.488341808,0.584255934,1.800307989,1.626865864,1.704239845,1.376329899,1.474327803,1.224139929,1.312230825,0.216321945,0.336066008,0.272019863,0.17001009,0.284284115,0.281503916,0.15218997,0.115331888,0.135204077,0.173442125,0.239793062,0.248189926,0.183964968,0.271822929,0.272186995,0.162096977,0.150570154,0.079341888
2.10E-05,0.07596612,0.791487932,0.879997969,1.589046001,1.68800211,0.55193305,0.672101021,0.47458601,0.574572086,1.912136078,1.722742081,1.808004141,1.472059965,1.592206955,1.323415995,1.423622131,0.328196049,0.448036909,0.146389961,0.07734704,0.239554882,0.531928062,0.14864397,0.116986036,0.133696079,0.189393997,0.372070789,0.126535177,0.097528934,0.207896948,0.543624163,0.168584824,0.095795155,0.120002031
2.10E-05,0.109168053,0.701047182,0.799336195,1.141087055,1.263571024,0.452850103,0.549818039,0.366106987,0.468969107,1.446293116,1.253123045,1.33299017,1.031539202,1.163875103,0.931620121,1.020959139,0.237128019,0.349397182,0.128978968,0.086743116,0.248197079,0.230572939,0.099919081,0.109547853,0.11203599,0.193170071,0.24022913,0.119571924,0.080848932,0.249518156,0.221622944,0.142915964,0.099695921,0.069419146
1.79E-05,0.047602892,0.497330904,0.579161882,0.888254881,1.024015903,0.313189983,0.416145086,0.208286047,0.296740055,1.13596797,0.978641987,1.063955069,0.784339905,0.911511898,0.688232899,0.786750078,0.120101929,0.229860067,0.088184118,0.104903936,0.184140921,0.190901995,0.096107006,0.103914976,0.090387106,0.157325983,0.182257175,0.066879988,0.119405031,0.163016796,0.207588196,0.12476182,0.112504005,0.039939165
2.10E-05,0.104037046,0.963375092,1.079415083,1.416260004,1.546109915,0.665148973,0.76799798,0.440238953,0.544235945,1.71350503,1.528048992,1.608139038,1.330609083,1.432066917,1.200182915,1.314075947,0.184268951,0.320122004,0.255970001,0.224910021,0.298226118,0.236807823,0.130426168,0.085650921,0.111788988,0.185456038,0.216084957,0.224113941,0.223762035,0.311417103,0.234660864,0.117990971,0.114042997,0.062029123
2.10E-05,0.111709833,0.744485855,0.847745895,1.183766842,1.310142994,0.511797905,0.611557961,0.351408005,0.479305983,1.455729961,1.293558836,1.376456022,1.10352993,1.207839012,0.983531952,1.079709053,0.175782919,0.303673029,0.175625086,0.1603899,0.23268795,0.239046097,0.119997978,0.080236912,0.109791994,0.162171125,0.191963196,0.175632954,0.132251978,0.236187935,0.231963158,0.128129959,0.102303982,0.066313028
1.91E-05,0.127676964,0.847988844,0.983638048,1.383933067,1.519917965,0.600003958,0.703929901,0.451499939,0.5598979,1.715247869,1.531808853,1.615891933,1.299540997,1.407659054,1.111842871,1.231925011,0.272017956,0.407938957,0.179481983,0.148504019,0.247984886,0.263854027,0.187698126,0.084392071,0.147875786,0.183439016,0.280261993,0.151958942,0.144032001,0.279708147,0.248286963,0.175734043,0.112258911,0.095973969
2.10E-05,0.127637863,0.720278025,0.832217932,1.23232007,1.358433962,0.515050888,0.608181953,0.394916058,0.496090889,1.536295891,1.336296082,1.432070017,1.120330095,1.241954088,0.968355894,1.072237968,0.232204914,0.360255957,0.162711143,0.12013483,0.205227137,0.248077869,0.151974201,0.111989975,0.103976011,0.199999809,0.232618093,0.135834932,0.112091064,0.224035978,0.240020037,0.16971612,0.116479874,0.073636055
2.10E-05,0.127915859,0.697672844,0.81445694,1.279459,1.376143932,0.455950975,0.56457305,0.344043016,0.481218815,1.551965952,1.378911018,1.463984966,1.151959896,1.263902903,0.991930962,1.111717939,0.191963911,0.319931984,0.152079105,0.111907959,0.241721869,0.294258118,0.160028934,0.127499104,0.099452019,0.173054934,0.192016125,0.161286831,0.083354235,0.24988389,0.297261,0.152184963,0.11224103,0.087841034
1.79E-05,0.120190859,0.656230927,0.744153976,1.112241983,1.216115952,0.464049816,0.578578949,0.384203911,0.496176004,1.443025827,1.248047829,1.335942984,0.994452,1.126083851,0.856245995,0.983868837,0.232228994,0.352150917,0.151974916,0.079845905,0.19218111,0.200015068,0.138206005,0.117789984,0.135805845,0.194977999,0.231960058,0.144025087,0.082402945,0.165575027,0.239714861,0.142215014,0.090032101,0.119827032
1.81E-05,0.120038986,0.936169147,1.064213037,1.48823595,1.60015893,0.613174915,0.688003063,0.400295973,0.528177977,1.800256968,1.610654116,1.71219492,1.39982295,1.520122051,1.264266014,1.384200096,0.230792046,0.36414814,0.169503927,0.212878942,0.322994232,0.328096867,0.135556936,0.088413,0.122418165,0.189602852,0.244109154,0.164029837,0.159825087,0.376209974,0.319987059,0.135921955,0.080036879,0.11203599
2.00E-05,0.111902952,0.674092054,0.77560091,1.127964973,1.252873898,0.440206051,0.55439806,0.35461998,0.463634014,1.423949003,1.239993095,1.327857018,1.053611994,1.153063059,0.927831888,1.031908035,0.215945005,0.327853918,0.138674974,0.085586071,0.233886003,0.253739834,0.125780106,0.07435298,0.112028122,0.183955908,0.215950966,0.135780096,0.090764046,0.22120285,0.256307125,0.121155024,0.099810839,0.07498312
2.79E-05,0.099998951,0.665930033,0.74713707,1.091291904,1.21511507,0.435343981,0.533107996,0.339159012,0.467226982,1.371329069,1.202867985,1.291228056,1.015383005,1.115044117,0.867275,0.963067055,0.219352961,0.315263033,0.119806051,0.096184969,0.230586052,0.201344967,0.148108006,0.075908899,0.11157608,0.168461084,0.215264082,0.151963949,0.065881014,0.214029074,0.215929985,0.151977062,0.100070953,0.076112986
2.10E-05,0.119645834,0.897203922,0.983922005,1.329313993,1.450497866,0.697512865,0.780598879,0.598101854,0.700614929,1.62409091,1.43194294,1.527833939,1.231935024,1.345870018,1.11984086,1.19964385,0.456028938,0.567898989,0.142072916,0.099411011,0.199691057,0.222636938,0.112094164,0.097378969,0.102628946,0.19214797,0.448253155,0.13271594,0.07998395,0.203323126,0.215721846,0.146226168,0.104627848,0.077336073
2.10E-05,0.135848999,0.751940966,0.847867966,1.413085938,1.535821915,0.439937115,0.559812069,0.349462986,0.465200901,1.743896961,1.546118021,1.615663052,1.255863905,1.351819992,1.103693962,1.213669062,0.223912001,0.327888012,0.125550985,0.090474129,0.312003851,0.351752996,0.152169943,0.157222033,0.133032084,0.19777894,0.192039013,0.137312889,0.094611168,0.288055897,0.365801096,0.13815093,0.184001923,0.079841137
2.00E-05,0.111551046,0.591978073,0.703933001,1.167958021,1.300962925,0.402497053,0.479901075,0.303519011,0.405473948,1.463929892,1.279928923,1.367730856,1.055975914,1.184712887,0.918098927,1.007889986,0.175629854,0.291128874,0.127889156,0.098978043,0.18948102,0.326120853,0.137876987,0.111982107,0.111970901,0.184000969,0.179577827,0.114345074,0.074427128,0.224031925,0.303956985,0.176822901,0.116250038,0.066767931
2.10E-05,0.111958981,0.727988005,0.823977947,1.178961039,1.295871973,0.44759202,0.543877125,0.347429991,0.464314938,1.431967974,1.26396203,1.35189414,1.079519987,1.159825087,0.967941046,1.055871964,0.215976,0.335922956,0.131453991,0.100162029,0.280395985,0.239953041,0.111578941,0.099441051,0.085000992,0.168005943,0.223963976,0.128391981,0.079562187,0.280100822,0.231894016,0.103953123,0.136046886,0.056022167
2.10E-05,0.119856834,0.703943014,0.800017834,1.15967679,1.284794807,0.447966814,0.543843985,0.354127884,0.47034502,1.439884901,1.27498889,1.359643936,1.079931974,1.185201883,0.943892002,1.031879902,0.183972836,0.311717987,0.170155048,0.09383893,0.2559762,0.239948988,0.136039972,0.079744816,0.115312099,0.164896011,0.191861153,0.158627033,0.073498964,0.256173849,0.231862068,0.153321981,0.099592924,0.074849129
2.00E-05,0.087563038,0.688024044,0.799880981,1.159988165,1.313594103,0.432002068,0.535890102,0.333376169,0.449522972,1.431992054,1.28036809,1.351912022,1.081167936,1.18147397,0.951966047,1.047924042,0.200027943,0.311766148,0.133348227,0.098625898,0.256021976,0.263942003,0.129201889,0.078820229,0.120379925,0.151623964,0.22420311,0.137756824,0.08636713,0.263990879,0.24804306,0.133549929,0.132120132,0.038317919
2.10E-05,0.11187315,0.903969049,1.015570164,1.500586033,1.616721153,0.669059038,0.769299984,0.553642988,0.687889099,1.767858982,1.591701984,1.682908058,1.38402915,1.487727165,1.255928993,1.327875137,0.439963102,0.56963706,0.113679886,0.11541605,0.234910011,0.351959944,0.128100157,0.116556883,0.091115952,0.176156998,0.45776391,0.118252039,0.081410885,0.24627018,0.312304974,0.159852028,0.128993988,0.066186905
2.10E-05,0.103878021,0.623941898,0.727406979,1.122695923,1.255563974,0.375993013,0.479862928,0.295709848,0.415744066,1.431949854,1.242658854,1.327833891,1.015856028,1.138912916,0.871940851,0.967843056,0.151952028,0.255861998,0.14375782,0.080283165,0.247948885,0.247998953,0.143915176,0.106839895,0.119962931,0.189291,0.151983976,0.159882069,0.064118862,0.24754405,0.240436077,0.17106986,0.116651058,0.072269917
2.00E-05,0.136644125,0.655669212,0.759707212,1.449723005,1.591795206,0.384013176,0.503606081,0.319046021,0.43584013,1.823938131,1.616039038,1.679862022,1.319927216,1.43188715,1.207941055,1.303686142,0.184032202,0.295736074,0.135013819,0.064967155,0.271656036,0.552271843,0.11198616,0.12979579,0.166316032,0.207899094,0.159091949,0.140104055,0.067765951,0.256101131,0.54397893,0.128201008,0.159908056,0.088066816
2.00E-05,0.127969027,0.720001221,0.816740036,1.143959045,1.276737213,0.432112217,0.562351227,0.319806099,0.455852032,1.447930098,1.263958216,1.367635012,1.064233065,1.175898075,0.943994045,1.039896011,0.215962172,0.345796108,0.103843927,0.112306118,0.287889004,0.223992825,0.120239019,0.079725981,0.11999917,0.183971882,0.217827082,0.110055923,0.106499195,0.254388809,0.223155975,0.136002064,0.100839138,0.090897799
2.10E-05,0.071773052,0.72239995,0.839736938,1.439913034,1.567734003,0.41594696,0.535840034,0.328708887,0.439940929,1.719850063,1.543668985,1.639672995,1.319679022,1.453649044,1.15991807,1.287842035,0.207956076,0.323837996,0.120752811,0.087238073,0.30645299,0.43751812,0.159760952,0.120234013,0.103755951,0.176181078,0.252064943,0.116102934,0.095899105,0.303896904,0.448105097,0.165807009,0.114084959,0.071938992
2.10E-05,0.121793032,0.695977926,0.79152894,1.169553995,1.271883011,0.415976048,0.535670996,0.321776867,0.437305927,1.423918009,1.231927872,1.327877998,1.043707848,1.143843889,0.91980195,1.007913828,0.191969872,0.303916931,0.129806995,0.094199181,0.280001879,0.223824024,0.123905897,0.125846148,0.062373877,0.191990137,0.182123899,0.133388996,0.098365068,0.255857944,0.216384888,0.135930061,0.128039122,0.055994987
2.10E-05,0.111699104,0.779126167,0.879634142,1.34514308,1.463803053,0.384078026,0.495704174,0.297389984,0.40775609,1.600074053,1.423935175,1.511660099,1.231945038,1.319962025,1.103752136,1.199830055,0.164131165,0.271835089,0.13325882,0.086688042,0.395048141,0.324625969,0.128192902,0.113198042,0.078792095,0.176138878,0.160135984,0.135921001,0.087948084,0.383929968,0.320195913,0.120131969,0.143841028,0.047857046
2.19E-05,0.100122929,0.698616028,0.790855885,1.280781984,1.398823023,0.407976866,0.535004854,0.299818039,0.432533979,1.575281858,1.375077963,1.471017838,1.15118289,1.263023853,1.047093868,1.131003857,0.207133055,0.30386591,0.092684984,0.108158827,0.290639162,0.34847784,0.104089022,0.129599094,0.094295979,0.200203896,0.203742981,0.12866807,0.102470875,0.25585103,0.340147972,0.132019997,0.13579917,0.072194815
1.69E-05,0.105062008,0.698402882,0.809034824,1.201108932,1.346783876,0.440961838,0.545058012,0.33681488,0.465641975,1.480284929,1.288952827,1.377110958,1.088947058,1.196508884,0.97694993,1.064801931,0.19309783,0.321038008,0.143717051,0.104146957,0.257441044,0.278547049,0.111997128,0.112161875,0.087843895,0.191332102,0.215976,0.144603968,0.079416037,0.263976812,0.255767107,0.131706953,0.150274992,0.030327082
3.29E-05,0.093327045,0.58940506,0.684987068,1.080796003,1.197277069,0.357424021,0.461124897,0.266485929,0.383275032,1.346592903,1.157402039,1.247256041,0.973068953,1.069124937,0.83714509,0.947822094,0.133171082,0.253298044,0.133314848,0.090938091,0.231981039,0.24774003,0.135923862,0.107727051,0.076606035,0.189190865,0.159970999,0.129976988,0.077849865,0.223862171,0.262835026,0.121302843,0.128152132,0.049978971
2.10E-05,0.07187891,1.431934834,1.52915597,1.87192297,1.999850988,0.407963991,0.48771286,0.279542923,0.375884056,2.135788918,1.97595787,2.071833849,1.79174304,1.887106895,1.647910833,1.735880852,0.151811838,0.255894899,0.127731085,0.128421068,1.023970842,0.215976,0.143832207,0.08017993,0.104034901,0.159831047,0.184015989,0.119989157,0.111828804,1.04144311,0.206724882,0.151226044,0.112744093,0.071982861
2.10E-05,0.112339973,0.808393955,0.912296057,1.272246838,1.396611929,0.40839386,0.520137072,0.320555925,0.432389975,1.560472012,1.376374006,1.464174986,1.176408052,1.276324987,1.072408915,1.144345999,0.208440065,0.324979067,0.11211586,0.087837934,0.400000095,0.264014959,0.103999138,0.095838785,0.104127169,0.184098005,0.212639093,0.107410908,0.087747097,0.392158985,0.232049942,0.131978989,0.120286942,0.067563057
2.00E-05,0.111958027,0.735775948,0.831709146,1.263893127,1.392956018,0.445201159,0.551892042,0.330790997,0.434658051,1.551994085,1.359961987,1.455886126,1.159968138,1.276360035,1.040009022,1.127701044,0.232042074,0.312994003,0.098748922,0.114410162,0.290574789,0.304233074,0.119959116,0.10392499,0.096068859,0.192032099,0.201035976,0.121664047,0.117233992,0.279817104,0.295991898,0.148658991,0.116595984,0.062930107
2.10E-05,0.103868961,0.959964037,1.07143712,1.623960018,1.756582975,0.525774956,0.615875959,0.40989399,0.511915922,1.920036077,1.743868113,1.848355055,1.543951035,1.647701025,1.407534122,1.495942116,0.279588938,0.383932114,0.130305052,0.115880966,0.434189081,0.447570086,0.136416912,0.080008984,0.119908094,0.176167965,0.280063152,0.127983809,0.103960037,0.455561161,0.424504995,0.151758909,0.10888195,0.091772079
