. - Down,. - Up,5 - Down,5 - Up,a - Down,a - Up,e - Down,e - Up,i - Down,i - Up,l - Down,n - Down,n - Up,o - Down,o - Up,r - Down,r - Up,t - Down,t - Up,t - i Down,i - e Down,e - 5 Down,5 - r Down,r - o Down,o - a Down,a - n Down,n - l Down,. - t Up,t - i Up,i - e Up,e - 5 Up,5 - r Up,r - o Up,o - a Up,a - n Up
1.91E-05,0.088084221,1.043167114,1.136030197,1.504177094,1.616036177,0.56817317,0.655742168,0.432186127,0.535834074,1.768188,1.625533104,1.712086201,1.375994205,1.480367184,1.309746027,1.392840147,0.29618907,0.399626017,0.135997057,0.135987043,0.474993944,0.266578913,0.066248178,0.128182888,0.12135601,0.142654896,0.311541796,0.136208057,0.119908094,0.480288029,0.25680995,0.087527037,0.135668993,0.096050024
1.98E-05,0.078870773,0.911100864,0.998823881,1.39068079,1.463386774,0.448938847,0.531794786,0.315943956,0.432295799,1.646468878,1.50296092,1.5638659,1.263595819,1.363106966,1.158947945,1.230833769,0.19893384,0.302739859,0.117010117,0.13299489,0.462162018,0.24784708,0.104647875,0.12708497,0.11228013,0.143507957,0.223869085,0.129555941,0.099498987,0.467029095,0.232009888,0.132273197,0.100279808,0.100479126
2.10E-05,0.076094866,1.175987959,1.263862848,1.65594101,1.743486881,0.591191053,0.691993952,0.488019943,0.558344841,1.943941832,1.784023046,1.847890854,1.521945953,1.623045921,1.447973013,1.539605856,0.37526989,0.439898968,0.112750053,0.10317111,0.584796906,0.271985054,0.07397294,0.133995056,0.128082037,0.159918785,0.363804102,0.118445873,0.133649111,0.571868896,0.275743008,0.083440065,0.12044096,0.104403973
1.88E-05,0.071768999,1.183972836,1.271346807,1.647960901,1.749840975,0.696000814,0.818182945,0.495992899,0.583879948,1.898625851,1.765077829,1.815902948,1.528036833,1.623711824,1.448019981,1.549678802,0.319969893,0.436373949,0.176023006,0.200007915,0.487972021,0.264047146,0.080016851,0.119924068,0.117116928,0.133548021,0.36460495,0.147505999,0.234302998,0.453163862,0.278331995,0.074033022,0.12612915,0.066061974
1.91E-05,0.072155952,0.976232052,1.063621998,1.457387924,1.559947968,0.552243948,0.658644915,0.443435907,0.496149063,1.855911016,1.616208076,1.664123058,1.336379051,1.416134119,1.25762105,1.338066101,0.328273058,0.445024014,0.115162849,0.108808041,0.423988104,0.281388998,0.078758001,0.121008873,0.158820152,0.23970294,0.372868061,0.05112505,0.162495852,0.404977083,0.274444103,0.078068018,0.143813848,0.104175091
2.10E-05,0.095813036,0.962425947,1.039777994,1.427792072,1.535528898,0.415935993,0.495779037,0.333162069,0.367826939,2.031877041,1.676430941,1.759747028,1.311547041,1.415786982,1.199862003,1.295749903,0.207670927,0.330736876,0.125491142,0.082773924,0.546489954,0.237436056,0.111685038,0.116245031,0.248638868,0.3554461,0.23492384,0.037090063,0.127952099,0.543998957,0.255971909,0.120037079,0.119741917,0.22421813
1.88E-05,0.103883028,0.888118029,1.007854939,1.363950968,1.447386026,0.488081932,0.591866016,0.375874996,0.447866917,1.600054026,1.471676826,1.503835917,1.223922014,1.329850912,1.167927027,1.262775898,0.279407024,0.398962975,0.096467972,0.112206936,0.400036097,0.279808998,0.055994987,0.140028954,0.107725859,0.128377199,0.295079947,0.048903942,0.1439991,0.415988922,0.254920959,0.067075014,0.117535114,0.05644989
2.00E-05,0.111880064,0.927987099,1.015531063,1.375926018,1.479871988,0.442094088,0.541191101,0.34163022,0.399880171,1.616019011,1.489897013,1.535884142,1.256557226,1.355925083,1.18394208,1.273178101,0.225620031,0.311816216,0.116010189,0.100463867,0.485893011,0.255954981,0.072615147,0.119368792,0.113970995,0.126121998,0.199936152,0.088063955,0.14131093,0.474339962,0.257647038,0.082746983,0.123946905,0.056012154
2.00E-05,0.127916098,0.951996088,1.055963039,1.503719091,1.615725994,0.560048103,0.633784056,0.42375803,0.484063148,1.831930161,1.655991077,1.698038101,1.415416002,1.487897158,1.271991968,1.367928028,0.303606987,0.40794611,0.120151043,0.136290073,0.391947985,0.31999588,0.143424034,0.088303089,0.152271986,0.175939083,0.280030012,0.076117039,0.149720907,0.422178984,0.311964989,0.11996913,0.127828836,0.082312107
1.69E-05,0.091438055,1.022675037,1.106036901,1.464564085,1.560069084,0.490788937,0.568467855,0.360864878,0.424294949,1.744521856,1.57614994,1.632390976,1.352612972,1.440461874,1.256551027,1.354758978,0.256561041,0.357717991,0.104303837,0.129924059,0.531886101,0.23387599,0.096061945,0.111951113,0.111585855,0.168371916,0.266279936,0.066576958,0.144172907,0.537569046,0.248722076,0.085702896,0.11960721,0.072321892
2.10E-05,0.095918894,0.967979908,1.047894955,1.43998003,1.519866943,0.495986938,0.607875824,0.383846998,0.462167025,1.743963003,1.560173988,1.59988904,1.327013016,1.410192013,1.223963022,1.303849936,0.248029947,0.344024897,0.135817051,0.11213994,0.47199297,0.255983114,0.103049994,0.112967014,0.120193958,0.183789015,0.248106003,0.118142128,0.145708799,0.440019131,0.255954981,0.106342077,0.109674931,0.080022097
2.00E-05,0.098639011,0.946835041,1.038758993,1.446636915,1.558603048,0.494846821,0.590741873,0.382581949,0.462730885,1.88664794,1.686815023,1.761636019,1.346263885,1.414692879,1.230774879,1.326328039,0.254823923,0.358752966,0.127758026,0.112264872,0.45198822,0.283939838,0.115489006,0.10037303,0.240178108,0.199832916,0.260113955,0.103977919,0.128010988,0.44801712,0.287569046,0.08836484,0.14391017,0.20303297
3.70E-05,0.13220191,1.233714104,1.321420908,2.46572113,2.593634129,0.857682943,0.969630003,0.7705791,0.825608969,2.843810081,2.643806934,2.665332079,2.337697983,2.433628082,1.828333139,1.945647955,0.305725098,0.417639971,0.464854002,0.087103844,0.37603116,0.594619036,0.509364843,0.128023148,0.178085804,0.200003147,0.285438061,0.407968998,0.144021034,0.351790905,0.624227047,0.487980127,0.160006046,0.07169795
2.00E-05,0.111932039,0.808027983,0.911922932,1.316635132,1.415125132,0.440017939,0.551902056,0.351779938,0.407905102,1.814676046,1.600012064,1.665019989,1.183809042,1.279946089,1.082770109,1.159925938,0.240045071,0.334640026,0.111734867,0.088238001,0.368010044,0.274742126,0.101038933,0.13282609,0.283376932,0.214663982,0.222707987,0.073265076,0.143996954,0.360020876,0.248003006,0.120020151,0.135179043,0.249894857
2.10E-05,0.049203157,1.208006144,1.29599309,1.660075188,1.760850191,0.783972979,0.862004995,0.695965052,0.745130062,1.943538189,1.763235092,1.807842016,1.543930054,1.631859064,1.463804007,1.560481071,0.575962067,0.671753168,0.120002985,0.088007927,0.424033165,0.255797863,0.080126047,0.116145134,0.103159904,0.180303097,0.622550011,0.073376894,0.116874933,0.433988094,0.264487982,0.071377993,0.128991127,0.046991825
2.00E-05,0.087776899,0.791955948,0.879726887,1.230494976,1.311855078,0.359972,0.439635992,0.27153492,0.327893019,1.615932941,1.423971891,1.471857071,1.09821701,1.175865889,1.031718969,1.114150047,0.166344881,0.255893946,0.105190039,0.08843708,0.431983948,0.239763021,0.066498041,0.132277966,0.193476915,0.19196105,0.168117046,0.071999073,0.111742973,0.440090895,0.234423161,0.061715841,0.135989189,0.160001993
2.00E-05,0.088067055,0.848188162,0.952060223,1.322783232,1.400038004,0.420873165,0.52076602,0.338019133,0.392088175,1.704125166,1.488125086,1.568031073,1.203010082,1.304068089,1.120135069,1.218526125,0.221283197,0.321381092,0.116735935,0.082854033,0.427314997,0.271946907,0.082875013,0.119773149,0.165341854,0.21600008,0.233314037,0.070707083,0.128677845,0.431294203,0.266465902,0.085541964,0.095969915,0.167993069
2.10E-05,0.087862015,0.816099882,0.919849873,1.327759981,1.415807009,0.431921959,0.519814968,0.319942951,0.394787788,1.671913862,1.471916914,1.543839931,1.183793783,1.279819012,1.103959799,1.208818913,0.226206779,0.344384909,0.093736172,0.111979008,0.384177923,0.287859917,0.079833984,0.143966198,0.144156933,0.199996948,0.256522894,0.05040288,0.12502718,0.400034904,0.28896904,0.071000099,0.135987997,0.128032923
2.00E-05,0.101233006,0.831818819,0.927907944,1.303591967,1.399443865,0.415989876,0.511865854,0.317392826,0.375643969,1.655972958,1.447976828,1.511839867,1.165177822,1.255852938,1.10393095,1.197525978,0.183990002,0.29588604,0.133402824,0.09859705,0.415828943,0.272112131,0.061246872,0.138414145,0.144384861,0.20799613,0.194653034,0.079757929,0.136221886,0.416042089,0.269618034,0.05832696,0.143590927,0.112396002
