. - Down,. - Up,5 - Down,5 - Up,a - Down,a - Up,e - Down,e - Up,i - Down,i - Up,l - Down,n - Down,n - Up,o - Down,o - Up,r - Down,r - Up,t - Down,t - Up,t - i Down,i - e Down,e - 5 Down,5 - r Down,r - o Down,o - a Down,a - n Down,n - l Down,. - t Up,t - i Up,i - e Up,e - 5 Up,5 - r Up,r - o Up,o - a Up,a - n Up
1.88e-05,0.071990013,0.943964005,1.023694038,1.415861845,1.529269934,0.375022888,0.447912931,0.296141863,0.35185504,1.805266857,1.59213686,1.687996864,1.359943867,1.448003054,1.289222956,1.376005888,0.200116873,0.280063868,0.09602499,0.078881025,0.568941116,0.345258951,0.070720911,0.055917978,0.176275015,0.213129997,0.208073854,0.071791172,0.096057892,0.575781107,0.35231185,0.071997166,0.08126688,0.158726931
2.1e-05,0.079943895,0.839975119,0.927907944,1.384073973,1.525217056,0.445118904,0.567759991,0.344907999,0.399907112,1.691401958,1.503967047,1.559664011,1.342150927,1.407690048,1.239795923,1.327877998,0.245078087,0.311880112,0.099829912,0.100210905,0.394856215,0.399820805,0.102355003,0.041923046,0.119893074,0.187434912,0.231936216,0.088027,0.167852879,0.360147953,0.399970055,0.07981205,0.117527008,0.034446955
2.22e-05,0.04145813,0.993374109,1.057676077,1.396691084,1.513241053,0.369707108,0.465557098,0.300377131,0.345690966,1.689586163,1.497187138,1.546324968,1.313773155,1.377688169,1.247220039,1.329741001,0.166869164,0.273693085,0.133507967,0.069329977,0.623667002,0.25384593,0.066553116,0.082917929,0.100496054,0.192399025,0.232234955,0.071997881,0.119866133,0.592118979,0.272064924,0.047947168,0.135552883,0.033083916
2e-05,0.041169167,0.985388994,1.057024002,1.66885519,1.763378143,0.348983049,0.449277163,0.283164978,0.337264061,1.96262908,1.745342016,1.793261051,1.553349972,1.625059128,1.385375977,1.489272118,0.185376167,0.265259981,0.097788811,0.065818071,0.636405945,0.399986982,0.167973995,0.115505219,0.076486826,0.217287064,0.224090815,0.07200408,0.112013102,0.60774684,0.432248116,0.13578701,0.138319016,0.029882908
2.1e-05,0.073179007,1.014343977,1.063536882,1.511667013,1.631510019,0.359631062,0.455523014,0.264288902,0.315418959,1.791605949,1.599437952,1.662644863,1.413203001,1.487551928,1.33541894,1.431514978,0.183486938,0.282350063,0.080801964,0.095342159,0.654712915,0.321074963,0.077784061,0.098464012,0.087770939,0.192167997,0.209171057,0.033068895,0.140104055,0.608013868,0.367978096,0.056036949,0.143958092,0.031134844
2e-05,0.079926014,1.207793951,1.287889957,1.653241158,1.775607109,0.489901066,0.535907984,0.369621038,0.431735039,2.007989168,1.759729147,1.815891027,1.543982029,1.631715059,1.487943172,1.568346024,0.273422003,0.343911171,0.096199036,0.120280027,0.717892885,0.280149221,0.056038857,0.109259129,0.106487989,0.248260021,0.263985157,0.087823868,0.104172945,0.751981974,0.280456066,0.063369036,0.14389205,0.040283918
1.6e-05,0.0876019,0.887625933,0.967272043,1.359623909,1.482326031,0.46795392,0.559298038,0.375426054,0.450570822,1.664670944,1.471429825,1.535541058,1.265691042,1.381783009,1.167556047,1.248725891,0.285300016,0.35156703,0.090126038,0.092527866,0.419672012,0.279930115,0.098134995,0.093932867,0.111805916,0.193241119,0.26396513,0.099003792,0.108727217,0.407974005,0.281453848,0.133057117,0.100543022,0.053215027
2e-05,0.083779097,1.114801168,1.191895962,1.919970036,2.062116146,0.499575138,0.58368206,0.400019169,0.4638381,2.229093075,2.031955957,2.103623152,1.832263947,1.929286003,1.751777172,1.845837116,0.287760019,0.384222031,0.11225915,0.099555969,0.61522603,0.636976004,0.080486774,0.087706089,0.111985922,0.197137117,0.300442934,0.07961607,0.11984396,0.608213902,0.653941154,0.083448887,0.132830143,0.041507006
2.19e-05,0.07090497,2.16661191,2.245332003,3.042943954,3.175507069,1.606899023,1.712347984,1.510907888,1.582642078,3.334588051,3.150835037,3.214759111,2.950870991,3.045749903,2.878896952,2.974755049,1.463135004,1.529911995,0.047772884,0.095991135,0.559712887,0.712285042,0.071974039,0.092072964,0.107891083,0.183753014,1.459007025,0.052730083,0.129705906,0.532984018,0.729423046,0.070994854,0.129757166,0.039252043
2e-05,0.099588156,1.462471962,1.558378935,2.19861412,2.310878992,0.716176987,0.814403057,0.582260132,0.714287043,2.478445053,2.295436144,2.366349936,2.128320932,2.200803041,2.054316044,2.14475894,0.43235898,0.564800024,0.149901152,0.133916855,0.746294975,0.591844082,0.074004889,0.070293188,0.096822023,0.183008909,0.465211868,0.149487019,0.100116014,0.743975878,0.586380005,0.056044102,0.110075951,0.055470943
